Record_Year,Primary diagnosis: summary code and description,Unnamed: 1,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency.1,Elective,Other
2012-13,‡ N40-N51,Diseases of male genital organs,125530.0,119837.0,125463.0,34.0,33.0,29287.0,84533.0,5628.0,389.0,65.0,50.0,2.1,1.0,49.0,730.0,5229.0,6390.0,6202.0,1023.0,1220.0,1229.0,1307.0,1321.0,6280.0,5009.0,4260.0,3931.0,4789.0,5580.0,6244.0,7487.0,9981.0,12810.0,11005.0,10124.0,7121.0,3763.0,1367.0,64354.0,118399.0,,,
2012-13,‡ N70-N77,Inflammatory diseases of female pelvic organs,27241.0,25179.0,3.0,27235.0,3.0,12173.0,12076.0,788.0,142.0,58.0,48.0,2.4,1.0,37.0,16.0,162.0,128.0,189.0,97.0,164.0,302.0,360.0,522.0,3207.0,3690.0,3512.0,3171.0,3344.0,2699.0,1533.0,700.0,524.0,457.0,348.0,277.0,226.0,159.0,57.0,8722.0,39640.0,,,
2012-13,‡ N80-N98,Noninflammatory disorders of female genital tract,246400.0,241471.0,40.0,246336.0,24.0,29573.0,199232.0,11886.0,780.0,56.0,43.0,2.0,1.0,47.0,85.0,209.0,259.0,1124.0,579.0,759.0,973.0,1309.0,1554.0,11609.0,17470.0,18002.0,20115.0,29263.0,32232.0,23392.0,15828.0,13223.0,12252.0,8834.0,6740.0,4155.0,2049.0,703.0,142238.0,199676.0,,,
2012-13,‡ O00-O08,Pregnancy with abortive outcome,140098.0,138334.0,6.0,140088.0,4.0,51709.0,66752.0,11379.0,8494.0,6.0,4.0,0.9,1.0,30.0,1.0,1.0,1.0,347.0,841.0,1684.0,2564.0,3528.0,4556.0,27909.0,30457.0,30138.0,21226.0,9687.0,841.0,44.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1154.0,66371.0,63385.0,,,
2012-13,"‡ O10-O75, O85-O92, O94-O99",Complications of labour and delivery,1128308.0,1090937.0,9.0,1128298.0,1.0,80735.0,11036.0,4545.0,994621.0,11.0,3.0,1.6,1.0,29.0,3.0,2.0,1.0,353.0,1605.0,5033.0,11758.0,19538.0,28584.0,226887.0,310700.0,308675.0,160253.0,39551.0,2466.0,186.0,23.0,3.0,5.0,0.0,1.0,5.0,0.0,20.0,8365.0,1757478.0,,,
2012-13,A00-A09,Intestinal infectious diseases,211071.0,167273.0,92501.0,118566.0,4.0,121522.0,40073.0,4387.0,1291.0,30.0,26.0,3.7,1.0,46.0,17399.0,24194.0,6141.0,3436.0,665.0,688.0,879.0,1032.0,1287.0,7940.0,8034.0,7320.0,6953.0,8448.0,9427.0,9731.0,9834.0,10842.0,12174.0,12496.0,14052.0,15873.0,12541.0,8983.0,42353.0,467890.0,,,
2012-13,A15-A19,Tuberculosis,7214.0,4084.0,4539.0,2675.0,0.0,2350.0,925.0,633.0,176.0,16.0,7.0,17.5,9.0,41.0,35.0,163.0,61.0,187.0,53.0,46.0,63.0,66.0,87.0,797.0,960.0,837.0,537.0,478.0,456.0,329.0,365.0,239.0,321.0,280.0,242.0,238.0,142.0,49.0,1166.0,61186.0,,,
2012-13,A20-A49,Certain bacterial diseases,78332.0,44837.0,38964.0,39368.0,0.0,40885.0,1032.0,1887.0,1033.0,24.0,7.0,9.8,6.0,63.0,3457.0,2010.0,917.0,459.0,106.0,101.0,127.0,146.0,183.0,849.0,953.0,1021.0,1454.0,2101.0,2833.0,3659.0,4561.0,6096.0,7950.0,7885.0,8909.0,9060.0,7538.0,5620.0,1096.0,453046.0,,,
2012-13,A50-A64,Infections with predominantly sexual mode of transmission,2613.0,2414.0,1325.0,1288.0,0.0,528.0,1680.0,179.0,27.0,57.0,44.0,4.9,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1556.0,4447.0,,,
2012-13,A65-A79,Other infectious and parasitic disorders,550.0,477.0,279.0,271.0,0.0,239.0,163.0,67.0,8.0,24.0,19.0,3.7,1.0,38.0,3.0,20.0,36.0,63.0,1.0,1.0,2.0,1.0,5.0,23.0,29.0,44.0,45.0,31.0,28.0,25.0,42.0,46.0,22.0,14.0,19.0,4.0,0.0,0.0,215.0,1003.0,,,
